CANDIDATE_ID,FIRST_NAME,LAST_NAME,PRIMARY_EMAIL,PHONE_NUMBER,JOB_TITLE_TARGET,PRIMARY_SKILLS,INDUSTRY_EXPERIENCE,CURRENT_STATUS,LAST_CONTACT_DATE,DESIRED_SALARY,BULLHORN_RESUME_ID,INTERVIEW_NOTES_SENTIMENT,GSUITE_DOC_ATTACHED,RECRUITER_NOTES_EXTERNAL,RECRUITER_NOTES_INTERNAL
C001,Alex,Roberts,alex.roberts@email.com,555-0101,Senior Software Engineer,"Python, AWS, Django",Software Development,Interviewing - CLT001,2025-10-19,120000,R001A,Positive,Yes,TechNova interview feedback attached to G-Doc. Client impressed with AWS certs.,Very strong fit for CLT001. Needs a quick offer. Check the custom benefits doc.
C002,Maria,Santos,maria.santos@email.com,555-0102,HR Business Partner,"Recruitment, Employee Relations, SAP HR",Logistics & Supply Chain,Available,2025-10-15,85000,R002A,Neutral,No,Good soft skills. Expressed concerns about long commutes.,Pitch for CLT002. Use salary negotiation doc template.
C003,Ben,Carter,ben.carter@email.com,555-0103,Financial Analyst,"Financial Modeling, GAAP, Excel",Fintech,Offer Pending - CLT003,2025-10-20,105000,R003A,Highly Positive,Yes,Excels in modeling. Ready to accept 105k. Feedback notes in shared G-Sheet 'PFG-Tracking'.,Prepare offer letter using the 'PFG-Financial-Template.doc'.
C004,Chloe,Davis,chloe.davis@email.com,555-0104,RN Case Manager,"Patient Care, Compliance, EPIC",Healthcare/MedTech,Screening,2025-10-18,70000,R004A,Neutral,Yes,Strong background but needs quick credential verification. Sent credential form via G-Suite.,Follow up on background check. Pitch for CLT004.
C005,Ethan,Smith,ethan.smith@email.com,555-0105,Digital Marketing Manager,"SEO, PPC, Content Strategy",Marketing & Creative,Available,2025-10-10,95000,R005A,Positive,No,Loves small team environments. Ready to start immediately.,Perfect cultural fit for CLT005.
C006,Olivia,Kim,olivia.kim@email.com,555-0106,Civil Engineer (P.E.),"Structural Analysis, AutoCAD, Site Management",Construction & Engineering,Rejected,2025-09-01,115000,R006A,Negative,No,Rejected by CLT006 due to lack of specific bridge experience. Open to other roles.,Do not pitch to Ironclad Construction again. Too junior.
C007,Liam,O'Connell,liam.oconnell@email.com,555-0107,Supply Chain Analyst,"Forecasting, Inventory Mgt., SAP",Agriculture/FMCG,Placed - CLT007,2025-07-25,80000,R007A,Highly Positive,Yes,Confirmed start date: 08/01/2025. Onboarding complete. Follow up required 90 days post-placement.,Placement confirmed. Check 90-day review schedule G-Doc.
C008,Maya,Jain,maya.jain@email.com,555-0108,Game Developer (Unity),"Unity, C#, Shader Programming",Gaming & Media,Interviewing - CLT008,2025-10-19,130000,R008A,Positive,Yes,Sent custom pitch deck for Starlight Gaming. Very enthusiastic about their new project.,High potential fee. Ensure smooth technical interview.
C009,David,Wu,david.wu@email.com,555-0109,Academic Registrar,"Curriculum Design, Student Systems",Education,Screening,2025-10-17,65000,R009A,Neutral,No,Good fit for admin role at Unity University. Low salary expectation is a bonus.,Low priority role.
C010,Sarah,Chen,sarah.chen@email.com,555-0110,Mechanical Design Eng.,"SolidWorks, CAD, Robotics",Automotive,Available,2025-10-14,110000,R010A,Positive,Yes,Strong portfolio linked in Google Drive. Looking for remote flexibility.,Pitch for Velocity Motors.
