Client ID,Company Name,Legal Entity Name,Industry Sector,Company Size,Primary Contact First Name,Primary Contact Last Name,Primary Contact Title,Primary Contact Email,Primary Contact Phone,Secondary Contact First Name,Secondary Contact Last Name,Secondary Contact Title,Secondary Contact Email,Secondary Contact Phone,Company Address Line 1,Company Address Line 2,City,County,Postcode,Country,Company Website,LinkedIn Profile,Service Lines Used,Primary Service,Account Status,Account Tier,First Engagement Date,Last Placement Date,Total Placements,Active Jobs,Lifetime Revenue (£),Average Fee Percentage,Preferred Payment Terms,Credit Limit (£),Payment History,Account Manager,Recruitment Specialties,Work Models Offered,Typical Salary Range,Hiring Frequency,Company Culture Notes,Decision Maker Speed,Interview Process Type,Reference Required,Assessment Required,Rebate Period Days,Replacement Guarantee,Contract Type Preference,Temp Margin (%),Notes
CLI-001,TechSphere Solutions Ltd,TechSphere Solutions Limited,IT Services & Consulting,150-200,Sarah,Mitchell,HR Director,sarah.mitchell@techsphere.co.uk,0117 555 1234,James,Wong,Technical Lead,james.wong@techsphere.co.uk,0117 555 1235,Bristol Technology Park,3rd Floor Building A,Bristol,Bristol,BS16 1QD,United Kingdom,www.techsphere.co.uk,linkedin.com/company/techsphere,"Recruitment, Assessment, Training",Recruitment,Active,Gold,2019-03-15,2024-12-10,28,3,185000,18.5,Net 30,50000,Excellent,Sam Henderson,"Technical, Sales","Office, Hybrid, Remote",£25000-£65000,Monthly,Fast-paced startup culture values innovation,Fast (1-2 weeks),2-stage (Technical + Culture),Yes,Yes,90,Yes,"Permanent, Contract",35,Cloud migration project starting Q2 2025 - expect 5-8 technical hires
CLI-002,Bristol Financial Group,Bristol Financial Group PLC,Financial Services,500+,Michael,Thompson,Talent Acquisition Manager,m.thompson@bristolfinancial.com,0117 555 2001,Emma,Patel,Finance Director,e.patel@bristolfinancial.com,0117 555 2002,One Temple Quay,Suite 400,Bristol,Bristol,BS1 6DZ,United Kingdom,www.bristolfinancial.com,linkedin.com/company/bristol-financial,"Recruitment, Wellbeing, Assessment",Recruitment,Active,Platinum,2017-06-20,2024-11-28,47,5,340000,20,Net 45,100000,Excellent,Sam Henderson,"Accountancy, Sales, Commercial","Office, Hybrid",£30000-£85000,Quarterly,Professional formal culture. Strong compliance focus,Medium (3-4 weeks),3-stage (HR + Technical + Director),Yes,Yes,120,Yes,Permanent,N/A,Annual graduate intake program starting September. Use Emma Jane for wellbeing support
CLI-003,Call Centre Excellence Ltd,Call Centre Excellence Limited,Contact Centre Operations,300-350,Rachel,Davies,Operations Director,r.davies@ccexcellence.co.uk,01934 555 3001,Mark,Foster,Recruitment Manager,m.foster@ccexcellence.co.uk,01934 555 3002,Weston Business Park,Unit 12B,Weston-super-Mare,Somerset,BS24 9AH,United Kingdom,www.ccexcellence.co.uk,linkedin.com/company/cc-excellence,"Recruitment, Contact Centre Consultancy, Training",Contact Centre Consultancy,Active,Platinum,2016-01-10,2025-01-05,132,12,420000,22,Net 30,75000,Excellent,Contact Centre Specialist,Contact Centre,"Office, Hybrid, Remote",£18000-£32000,Weekly,High-volume hiring KPI-focused supportive team environment,Very Fast (<1 week),1-stage (Manager interview),No,Optional,60,Yes,"Permanent, Temporary",40,Largest contact centre client. Expansion project Q1 2025 - need 40+ staff. Used consultancy for setup in 2016
CLI-004,Green Energy Solutions,Green Energy Solutions UK Ltd,Renewable Energy,80-100,David,Kaur,Head of People,d.kaur@greenenergy.co.uk,0117 555 4001,Sophie,Williams,CEO,s.williams@greenenergy.co.uk,0117 555 4000,The Sustainable Building,2nd Floor,Bristol,Bristol,BS1 5TR,United Kingdom,www.greenenergysolutions.co.uk,linkedin.com/company/green-energy-uk,"Recruitment, Training",Recruitment,Active,Silver,2021-09-05,2024-10-18,12,2,67000,17,Net 30,30000,Good,Sam Henderson,"Technical, Commercial","Hybrid, Remote",£28000-£55000,Quarterly,Mission-driven collaborative culture. Flexible working champion,Medium (2-3 weeks),2-stage (Values + Skills),Yes,No,90,Yes,Permanent,N/A,Growing rapidly. Stuart Pearce delivered sales training Nov 2024 - excellent feedback
CLI-005,MetroRetail Holdings,MetroRetail Holdings Limited,Retail & E-commerce,1200+,Lisa,Chen,Group HR Manager,l.chen@metroretail.co.uk,0117 555 5001,Oliver,Brown,Regional Manager - South West,o.brown@metroretail.co.uk,0117 555 5050,Metro House,Bristol Road,Bristol,Bristol,BS4 3QJ,United Kingdom,www.metroretail.co.uk,linkedin.com/company/metroretail,"Recruitment, Assessment",Recruitment,Active,Gold,2018-11-12,2024-09-15,35,1,156000,16,Net 60,80000,Good,Sam Henderson,"Sales, Commercial, Contact Centre","Office, Hybrid",£20000-£45000,Monthly,Fast-paced retail environment customer-first values,Fast (1-2 weeks),2-stage (Manager + Store Visit),No,Yes,90,Yes,"Permanent, Temporary",38,Seasonal hiring spikes (Q4). Assessment used for management roles only
CLI-006,Apex Engineering Ltd,Apex Engineering Limited,Engineering & Manufacturing,220-250,Andrew,Morgan,Talent Manager,a.morgan@apexeng.co.uk,0117 555 6001,Jennifer,Taylor,Engineering Director,j.taylor@apexeng.co.uk,0117 555 6002,Apex Industrial Estate,Building 7,Bristol,Bristol,BS11 9YB,United Kingdom,www.apexengineering.co.uk,linkedin.com/company/apex-engineering,"Recruitment, Training, Assessment",Recruitment,Active,Gold,2019-07-22,2024-12-01,24,4,142000,19,Net 30,60000,Excellent,Sam Henderson,"Technical, Commercial",Office,£30000-£70000,Quarterly,Traditional engineering culture safety-first mindset,Slow (4-6 weeks),3-stage (HR + Technical + Director),Yes,Yes,120,Yes,"Permanent, Contract",N/A,Stuart Pearce training for new management team Jan 2025. Fire safety specialists on commercial side
CLI-007,HealthFirst Medical Centre,HealthFirst Medical Centre Limited,Healthcare,45-60,Dr. Priya,Shah,Practice Manager,p.shah@healthfirst.nhs.uk,0117 555 7001,N/A,N/A,N/A,N/A,N/A,HealthFirst Centre,124 Queens Road,Bristol,Bristol,BS8 1SD,United Kingdom,www.healthfirstbristol.co.uk,N/A,"Recruitment, Wellbeing",Recruitment,Active,Bronze,2022-05-18,2024-08-22,6,1,28000,15,Net 45,20000,Good,Sam Henderson,"Commercial, Contact Centre","Office, Hybrid",£22000-£38000,Annually,Caring patient-focused culture. High stress environment,Medium (3-4 weeks),2-stage (Manager + Team Meet),Yes,No,90,Yes,Permanent,N/A,Emma Jane provided wellbeing support for 2 receptionists (burnout) - successful return to work. Small but steady client
CLI-008,DataVault Security,DataVault Security Systems Ltd,Cybersecurity,65-80,Thomas,O'Connor,CTO,t.oconnor@datavault.co.uk,0117 555 8001,Aisha,Khan,HR Business Partner,a.khan@datavault.co.uk,0117 555 8002,Cyber Security Hub,Floor 5 Tech Quarter,Bristol,Bristol,BS1 6EA,United Kingdom,www.datavaultsecurity.co.uk,linkedin.com/company/datavault-security,"Recruitment, Assessment, Training",Recruitment,Active,Gold,2020-02-14,2024-11-20,18,3,112000,21,Net 30,50000,Excellent,Sam Henderson,Technical,"Remote, Hybrid",£35000-£85000,Quarterly,Security-conscious remote-first culture. High trust environment,Fast (1-2 weeks),3-stage (Technical + Culture + Security Clearance),Yes,Yes,90,Yes,"Permanent, Contract",N/A,All technical roles require security clearance (SC/DV). Assessment critical for cultural fit. Training on secure coding practices
CLI-009,Sunshine Charity Foundation,Sunshine Charity Foundation,Non-Profit / Charity,30-40,Hannah,Roberts,Fundraising Director,h.roberts@sunshinechar.org.uk,0117 555 9001,Paul,Green,Trustee,p.green@sunshinechar.org.uk,0117 555 9005,Community Centre,89 Park Street,Bristol,Bristol,BS1 5PW,United Kingdom,www.sunshinecharitybristol.org.uk,linkedin.com/company/sunshine-charity,Recruitment,Recruitment,Active,Bronze,2023-03-08,2024-07-10,4,0,15000,12,Net 60,10000,Fair,Sam Henderson,"Sales, Contact Centre","Office, Remote",£18000-£28000,Annually,Mission-driven values-led culture. Limited budget,Slow (4-8 weeks),2-stage (Values + Skills),No,No,90,Yes,Permanent,N/A,Budget-sensitive client. Focus on telephone fundraising roles. Discounted rates due to charity status
CLI-010,Premier Property Group,Premier Property Group Limited,Property & Real Estate,120-140,Victoria,Lewis,People & Culture Lead,v.lewis@premierpropertygroup.co.uk,0117 555 1001,Nathan,Edwards,Sales Director,n.edwards@premierpropertygroup.co.uk,0117 555 1010,Premier House,Harbourside,Bristol,Bristol,BS1 6HG,United Kingdom,www.premierpropertygroup.co.uk,linkedin.com/company/premier-property-bristol,"Recruitment, Training, Wellbeing",Recruitment,Active,Gold,2018-04-03,2024-12-15,31,4,168000,17.5,Net 30,70000,Excellent,Sam Henderson,"Sales, Commercial","Office, Hybrid",£20000-£60000,Monthly,High-performance sales culture competitive environment,Very Fast (<1 week),1-stage (Sales Director interview),No,Optional,60,Yes,"Permanent, Temporary",36,High turnover in sales roles. Stuart Pearce delivers quarterly sales training. Emma Jane supported 3 sales managers (stress management). Strong long-term relationship
CLI-011,Phoenix Software Development,Phoenix Software Development Ltd,Software Development,95-120,Robert,Singh,Head of Talent,r.singh@phoenixdev.co.uk,0117 555 1101,Zara,Williams,CTO,z.williams@phoenixdev.co.uk,0117 555 1102,Innovation Centre,Tech Hub East,Bristol,Bristol,BS2 0QF,United Kingdom,www.phoenixdev.co.uk,linkedin.com/company/phoenix-software,"Recruitment, Assessment",Recruitment,Active,Gold,2020-08-17,2024-12-08,22,4,138000,19,Net 30,55000,Excellent,Sam Henderson,Technical,"Remote, Hybrid",£32000-£75000,Quarterly,Agile fast-paced environment. Strong learning culture,Fast (1-2 weeks),2-stage (Tech Test + Culture),Yes,Yes,90,Yes,"Permanent, Contract",N/A,Specialise in React Node.js Python. Remote-first company. Assessment includes coding challenge
CLI-012,Coastal Logistics Group,Coastal Logistics Group PLC,Logistics & Distribution,800+,James,Murphy,HR Director,j.murphy@coastallogistics.co.uk,0117 555 1201,Claire,Thompson,Operations Manager,c.thompson@coastallogistics.co.uk,0117 555 1202,Distribution Centre,Junction 19 M5,Bristol,Bristol,BS10 7TB,United Kingdom,www.coastallogistics.co.uk,linkedin.com/company/coastal-logistics,"Recruitment, Training",Recruitment,Active,Platinum,2018-02-11,2025-01-02,56,8,298000,18,Net 45,90000,Excellent,Sam Henderson,"Commercial, Sales","Office, Hybrid",£22000-£55000,Monthly,Fast-moving 24/7 operations. Team-focused culture,Fast (1-2 weeks),1-stage (Manager interview),No,No,60,Yes,"Permanent, Temporary",42,High-volume warehouse and driver recruitment. Stuart Pearce training for management team. Seasonal peaks
CLI-013,University of West England,University of West England,Education / Higher Education,2500+,Dr. Amanda,Foster,Director of HR,a.foster@uwe.ac.uk,0117 555 1301,Simon,Baker,Recruitment Lead,s.baker@uwe.ac.uk,0117 555 1302,Frenchay Campus,Coldharbour Lane,Bristol,Bristol,BS16 1QY,United Kingdom,www.uwe.ac.uk,linkedin.com/company/uwe-bristol,Recruitment,Recruitment,Active,Gold,2019-10-05,2024-09-30,19,2,89000,14,Net 60,40000,Good,Sam Henderson,"Technical, Commercial, Accountancy",Hybrid,£28000-£65000,Quarterly,Academic professional environment. Public sector values,Slow (6-8 weeks),3-stage (Panel + Presentation + HR),Yes,No,120,Yes,Permanent,N/A,Public sector client. Long recruitment cycles. Focus on professional services and IT support roles
CLI-014,Skyline Marketing Agency,Skyline Marketing Agency Ltd,Marketing & Advertising,55-70,Emma,Clarke,Managing Director,e.clarke@skylinemarketing.co.uk,0117 555 1401,Ben,Taylor,Creative Director,b.taylor@skylinemarketing.co.uk,0117 555 1402,Creative Quarter,Unit 3B Paintworks,Bristol,Bristol,BS4 3EH,United Kingdom,www.skylinemarketing.co.uk,linkedin.com/company/skyline-marketing,"Recruitment, Assessment",Recruitment,Active,Silver,2022-01-20,2024-11-12,9,2,48000,17,Net 30,25000,Good,Sam Henderson,"Sales, Commercial","Hybrid, Remote",£24000-£48000,Quarterly,Creative collaborative culture. Fast-paced agency environment,Medium (2-3 weeks),2-stage (Portfolio + Culture),Yes,Yes,90,Yes,Permanent,N/A,Focus on digital marketing roles. Portfolio reviews critical. Assessment for senior hires
CLI-015,Bristol City Council,Bristol City Council,Local Government,8000+,Patricia,Wilson,Senior Resourcing Manager,p.wilson@bristol.gov.uk,0117 555 1501,Marcus,James,Talent Lead,m.james@bristol.gov.uk,0117 555 1502,City Hall,College Green,Bristol,Bristol,BS1 5TR,United Kingdom,www.bristol.gov.uk,linkedin.com/company/bristol-city-council,Recruitment,Recruitment,Active,Platinum,2016-05-15,2024-10-28,72,6,285000,15,Net 60,120000,Good,Sam Henderson,"Commercial, Technical, Contact Centre",Office,£20000-£52000,Monthly,Public sector values. Diversity and inclusion focus,Slow (6-10 weeks),3-stage (Panel + Assessment Centre + References),Yes,No,120,Yes,Permanent,N/A,Largest public sector client. Complex procurement processes. High volume varied roles
CLI-016,Nautilus Marine Services,Nautilus Marine Services Ltd,Maritime & Shipping,180-200,Captain David,Reynolds,Fleet Operations Director,d.reynolds@nautilusmarine.co.uk,0117 555 1601,Sarah,Collins,HR Manager,s.collins@nautilusmarine.co.uk,0117 555 1602,Port of Bristol,Royal Portbury Dock,Bristol,Bristol,BS20 7XS,United Kingdom,www.nautilusmarine.co.uk,linkedin.com/company/nautilus-marine,Recruitment,Recruitment,Active,Gold,2020-03-08,2024-12-05,17,3,94000,18,Net 30,45000,Excellent,Sam Henderson,"Technical, Commercial",Office,£28000-£68000,Quarterly,Maritime industry culture. Safety and compliance critical,Medium (3-4 weeks),2-stage (Technical + Medical),Yes,No,90,Yes,"Permanent, Contract",N/A,Specialist marine roles. Certifications and maritime qualifications essential. Unique niche client
CLI-017,FreshFood Distribution,FreshFood Distribution Ltd,Food & Beverage,420-450,Michelle,Brown,People Director,m.brown@freshfood.co.uk,0117 555 1701,Tony,Martinez,Operations Director,t.martinez@freshfood.co.uk,0117 555 1702,Food Park West,Avonmouth Way,Bristol,Bristol,BS11 8DQ,United Kingdom,www.freshfooddist.co.uk,linkedin.com/company/freshfood-dist,"Recruitment, Training",Recruitment,Active,Gold,2019-06-12,2024-12-18,41,7,215000,17.5,Net 30,65000,Excellent,Sam Henderson,"Commercial, Sales, Contact Centre","Office, Hybrid",£19000-£45000,Weekly,Fast-paced food industry. Quality and hygiene focus,Very Fast (<1 week),1-stage (Manager interview),No,No,60,Yes,"Permanent, Temporary",41,High-volume warehouse recruitment. Food safety training required. Seasonal demand variations
CLI-018,Quantum Research Labs,Quantum Research Labs Limited,Research & Development,40-50,Prof. Richard,Chen,Research Director,r.chen@quantumresearch.co.uk,0117 555 1801,Dr. Eleanor,White,Head of Operations,e.white@quantumresearch.co.uk,0117 555 1802,Science Park,University Road,Bristol,Bristol,BS8 1UB,United Kingdom,www.quantumresearchlabs.co.uk,linkedin.com/company/quantum-research,"Recruitment, Assessment",Recruitment,Active,Silver,2021-11-03,2024-07-15,7,1,38000,16,Net 45,20000,Good,Sam Henderson,Technical,Hybrid,£35000-£72000,Annually,Academic research environment. Highly specialized roles,Slow (8-12 weeks),3-stage (Technical + Presentation + Panel),Yes,Yes,120,Yes,Contract,N/A,PhD-level positions. Highly specialized quantum physics research roles. Long hiring cycles
CLI-019,BrightStart Nurseries,BrightStart Nurseries Group Ltd,Childcare & Education,200-220,Karen,Wilson,Group HR Manager,k.wilson@brightstartuk.co.uk,0117 555 1901,Amy,Roberts,Regional Manager,a.roberts@brightstartuk.co.uk,0117 555 1902,BrightStart House,Henleaze Road,Bristol,Bristol,BS9 4NG,United Kingdom,www.brightstartuk.co.uk,linkedin.com/company/brightstart-nurseries,"Recruitment, Wellbeing",Recruitment,Active,Gold,2020-07-22,2024-11-25,29,5,142000,16.5,Net 30,50000,Good,Sam Henderson,Commercial,"Office, Hybrid",£18000-£35000,Monthly,Caring nurturing culture. Child safeguarding paramount,Medium (3-4 weeks),2-stage (Interview + DBS Check),Yes,No,90,Yes,Permanent,N/A,All roles require enhanced DBS checks. Emma Jane wellbeing support for staff burnout prevention
